AFRICANO,ALEMAN,ANDINO,ARABE,ARMENIO,BELGA,BRITÁNICO,CHINO,COREANO,ESCANDINAVO,ESPAÑOL,ESTE EUROPEO,FRANCES,GERMANICO,GRIEGO,HEBREO,HINDU,HOLANDES,IBERICO,ITALIANO,JAPONES,JUJUY,NOA,PORTUGUES,SUIZOS,SUR,TAILANDIA,TIERRAS BAJAS,VASCO,departamento_id,departamento_nombre,provincia_nombre,AAR,GERMANICO-ALEMAN
0,1,19,3,0,0,0,41,0,0,422,43,7,27,16,0,44,0,8,26,0,32,0,1,23,0,0,0,197,086112,MITRE,Santiago del Estero,0,0
0,10,5,35,21,1,95,0,0,0,7038,13,47,7,0,43,33,0,1,69,0,3,9,9,0,49,12,4,979,086133,PELLEGRINI,Santiago del Estero,0,0
0,67,1208,99,1,0,14,9,0,3,7202,62,97,3,2,1,7,2,4,297,8,414,350,15,0,4,0,8,1835,066035,CERRILLOS,Salta,221,9
0,52,1270,93,1,1,37,37,23,5,11197,72,149,5,2,8,40,2,4,687,2,430,171,25,3,2,0,33,3405,066049,GÜEMES,Salta,103,10
32,82,280,108,25,4,38,0,0,16,11381,56,149,2,4,8,39,7,3,642,9,153,152,8,0,2,0,32,2860,066112,METAN,Salta,41,13
13,24,411,46,11,49,4,0,0,3,1957,8,15,1,0,46,3,0,1,68,1,112,88,2,46,1,17,4,385,066098,LA VIÑA,Salta,11,12
6,14,877,70,0,47,11,47,0,50,4902,30,43,1,1,1,5,0,0,95,13,473,344,6,0,36,0,42,849,066042,CHICOANA,Salta,132,0
38,11,739,35,0,5,4,0,0,4,4667,19,26,1,2,0,6,0,1,101,1,215,342,4,0,47,40,1,560,066021,CAFAYATE,Salta,83,2
26,3,71,43,46,37,28,7,12,1,10558,11,100,35,4,15,1,46,1,166,6,16,40,6,0,0,4,6,2017,066133,RIVADAVIA,Salta,8,2
0,6,172,4,0,0,0,4,0,0,1185,3,3,21,0,0,49,1,26,9,0,67,37,2,16,0,14,2,311,066063,GUACHIPAS,Salta,15,2
1,38,234,62,1,5,14,25,0,11,8760,75,42,6,26,2,53,1,4,626,2,62,155,13,36,0,21,28,1770,066140,ROS.DE LA FRONTERA,Salta,16,1
0,0,669,10,0,0,2,0,30,0,1278,0,14,25,0,39,1,0,0,7,0,102,9,1,10,0,0,1,328,066070,IRUYA,Salta,10,0
0,36,1727,47,15,0,30,0,24,1,7850,53,165,4,1,1,7,2,1,317,1,1116,708,12,0,1,0,8,1293,066147,ROSARIO DE LERMA,Salta,188,10
0,34,147,14,14,14,36,0,12,0,340,0,11,0,0,0,50,4,0,2,24,73,44,6,15,0,0,0,58,066091,LA POMA,Salta,1,0
3,931,9563,3143,3,8,570,6,3,114,91551,996,1833,60,120,74,116,80,54,12851,192,7047,4447,284,13,35,2,192,25492,066028,CAPITAL,Salta,2257,303
31,5,465,16,2,1,1,30,7,0,1552,14,10,5,1,0,0,44,1,25,33,189,196,1,39,31,18,1,173,066154,SAN CARLOS,Salta,29,3
0,7,277,14,0,0,0,26,0,0,1468,4,5,29,0,0,3,30,1,63,43,22,19,1,34,24,18,43,256,066084,LA CANDELARIA,Salta,16,3
0,0,427,1,13,0,0,0,0,0,1618,1,54,1,0,0,31,1,35,7,35,181,330,1,0,0,19,1,72,066105,LOS ANDES,Salta,11,0
0,1,651,42,0,19,1,0,0,47,2153,0,14,1,18,41,0,0,2,53,1,166,61,1,0,0,0,7,375,066161,SANTA VICTORIA,Salta,32,0
1,121,3020,429,0,29,109,35,45,14,26473,147,478,13,22,1,24,9,19,1056,33,463,375,108,1,15,42,471,6883,066126,ORAN,Salta,298,33
0,233,1352,382,44,3,139,1,21,7,44427,217,756,8,38,16,32,4,23,1723,22,302,441,107,10,11,3,414,11813,066056,SAN MARTIN,Salta,263,30
1,33,483,41,15,1,12,19,0,2,1606,41,39,1,12,4,1,1,1,259,2,473,48,2,11,1,1,1,603,066077,LA CALDERA,Salta,53,11
0,38,319,101,1,9,80,0,0,3,15433,36,111,5,1,17,11,8,8,423,1,71,531,32,14,2,4,115,3132,066007,ANTA,Salta,33,9
0,1,221,2,16,2,1,0,15,42,1025,39,1,8,11,13,0,12,0,9,43,182,394,35,0,0,0,1,155,066119,MOLINOS,Salta,12,0
10,11,493,4,0,0,4,8,23,4,1865,5,3,7,0,7,0,23,1,24,0,141,173,1,16,13,48,3,243,066014,CACHI,Salta,21,1
0,2347,32,256,49,4,189,4,0,60,22954,495,693,794,4,26,11,83,270,5436,7,4,47,112,18,50,39,0,5772,042021,CAPITAL,La Pampa,255,1061
49,5,2,3,28,0,1,0,0,48,859,22,4,4,0,0,0,0,10,37,39,36,38,3,6,1,0,27,163,042049,CHALILEO,La Pampa,5,1
26,59,6,24,19,35,9,2,5,4,1144,8,31,22,1,0,1,2,8,724,3,1,1,1,0,3,0,25,179,042147,TRENEL,La Pampa,7,24
0,344,2,19,0,0,35,0,46,5,1363,102,199,249,50,2,47,10,34,343,3,0,1,7,1,2,32,45,303,042077,HUCAL,La Pampa,12,368
48,9,1,3,16,21,8,0,28,1,585,11,11,13,0,16,1,6,2,51,42,0,10,24,2,5,0,1,135,042014,CALEU CALEU,La Pampa,16,11
21,420,1,27,0,18,50,0,36,1,3442,125,43,196,1,2,0,54,77,988,47,1,3,18,46,10,0,0,573,042035,CONHELO,La Pampa,24,256
12,3,48,40,15,0,1,16,0,41,143,0,1,1,0,4,0,0,0,6,0,10,40,1,20,1,47,0,21,042091,LIMAY MAHUIDA,La Pampa,5,0
0,8,0,0,0,0,0,37,30,0,189,3,3,1,0,5,44,0,1,16,0,0,0,0,0,4,41,0,46,042042,CURACO,La Pampa,24,0
12,2,0,0,22,0,0,38,30,46,36,0,1,3,0,0,0,0,1,7,0,0,3,10,0,0,29,49,32,042084,LIHUEL CALEL,La Pampa,0,2
0,404,4,7,0,0,37,4,0,8,2640,48,154,103,1,0,2,33,34,415,21,32,1,27,1,24,0,0,604,042007,ATREUCO,La Pampa,2,170
0,1163,1,22,29,0,38,14,0,5,934,56,48,274,0,2,15,37,20,327,6,0,7,6,50,2,0,0,218,042070,GUATRACHE,La Pampa,9,513
13,288,5,29,0,0,28,0,0,1,4007,40,84,109,3,3,1,9,30,489,10,0,13,13,0,39,2,4,959,042154,UTRACAN,La Pampa,40,160
0,2,0,16,0,28,0,23,0,0,446,13,40,2,0,40,2,0,1,9,0,43,0,17,0,14,18,0,119,042063,CHICAL-CO,La Pampa,0,0
11,34,3,23,30,30,9,0,13,2,2364,14,62,17,1,1,2,2,27,784,48,1,1,21,0,5,8,1,464,042126,RANCUL,La Pampa,5,29
40,27,2,28,2,0,22,17,33,3,2513,9,22,19,34,42,0,11,29,315,1,2,0,26,49,11,3,39,773,042098,LOVENTUE,La Pampa,15,23
1,43,1,17,0,0,7,0,5,4,2094,10,54,16,0,1,1,3,26,358,1,6,0,14,0,1,18,0,439,042028,CATRILO,La Pampa,15,50
24,50,9,19,3,0,27,25,0,1,3335,18,76,30,28,3,3,1,11,947,43,1,1,14,0,18,13,44,564,042056,CHAPALEUFU,La Pampa,10,45
0,286,31,118,0,1,130,2,20,18,15474,233,306,190,1,37,4,8,138,3772,7,9,2,101,2,17,40,1,2810,042105,MARACO,La Pampa,83,251
0,197,3,16,0,1,41,0,27,6,2507,50,44,104,7,7,0,5,29,616,2,1,6,7,0,13,27,50,345,042119,QUEMU QUEMU,La Pampa,7,93
0,175,9,34,25,48,17,23,47,15,3199,62,107,86,0,5,31,4,49,423,2,4,2,13,37,27,1,0,663,042140,TOAY,La Pampa,23,86
0,36,14,17,25,0,8,0,5,0,2276,19,41,10,42,2,31,1,17,217,12,41,2,3,0,25,0,2,678,042112,PUELEN,La Pampa,28,11
0,77,4,51,47,22,17,0,2,3,2943,31,115,52,1,3,0,14,37,1973,1,26,2,19,0,4,29,0,814,042133,REALICO,La Pampa,6,36
0,3,34,3,15,0,30,19,16,17,832,24,1,0,31,32,0,0,15,13,0,0,4,1,0,3,0,0,134,046077,GRAL. LAMADRID,La Rioja,8,1
0,3,2,8,0,15,0,32,0,47,906,1,1,0,0,8,0,0,37,12,9,0,53,34,0,1,0,0,72,046105,INDEPENDENCIA,La Rioja,8,0
38,5,4,12,35,2,1,30,45,35,2490,9,13,0,3,7,46,0,2,75,0,0,64,1,21,7,0,4,448,046063,GRAL. BELGRANO,La Rioja,7,0
0,6,4,9,10,0,2,47,0,2,1641,1,12,0,2,1,0,21,48,63,1,1,72,1,0,2,39,39,184,046021,CASTRO BARROS,La Rioja,10,1
0,12,1,17,0,0,2,0,0,1,2047,6,3,0,1,1,0,1,2,51,1,4,39,3,0,1,0,0,465,046084,GRAL.ORTIZ DE OCAMPO,La Rioja,7,0
0,0,1,7,0,0,31,47,50,0,1601,1,2,6,0,11,0,48,0,13,0,7,7,2,0,6,46,36,346,046091,GRAL. SAN MARTIN,La Rioja,0,0
35,185,199,613,7,3,158,5,47,27,58973,287,321,17,47,18,11,23,49,4008,30,59,902,87,5,68,6,6,8437,046014,CAPITAL,La Rioja,249,38
19,3,4,23,0,0,2,0,0,0,1129,2,2,0,1,47,5,2,1,50,1,1,100,9,0,0,0,0,196,046119,SAN BLAS DE LOS SAUCES,La Rioja,4,0
0,6,57,44,32,10,12,0,0,1,3963,5,17,1,2,0,2,26,1,57,36,4,96,0,0,22,28,0,505,046028,CNEL. FELIPE VARELA,La Rioja,17,2
8,2,14,2,30,0,1,45,25,0,1220,1,5,1,1,0,2,1,37,41,15,2,20,0,25,0,0,0,103,046126,SANAGASTA,La Rioja,8,0
29,1,5,3,25,32,4,1,17,33,780,1,4,0,5,1,14,0,39,15,0,2,17,1,16,1,0,0,209,046098,VINCHINA,La Rioja,6,0
0,8,2,44,1,3,5,0,0,33,5348,4,40,0,5,0,3,0,2,138,0,1,68,12,0,5,8,0,786,046112,ROSARIO VERA PEÑALOZA,La Rioja,6,0
0,19,10,63,2,1,5,14,23,1,4058,9,50,1,0,49,1,4,5,209,15,4,68,9,30,2,1,1,818,046035,CHAMICAL,La Rioja,8,2
31,58,145,153,1,13,106,1,24,2,10335,60,119,2,17,17,22,1,17,616,52,30,830,18,1,57,0,3,2165,046042,CHILECITO,La Rioja,135,10
29,4,2,4,3,0,0,0,42,31,1128,0,2,0,21,47,1,0,19,14,27,0,22,0,30,12,0,0,88,046056,ANGEL VICENTE PEÑALOZA,La Rioja,1,0
1,6,36,24,1,0,10,3,0,2,5786,3,39,2,3,0,3,1,2,242,2,6,231,2,0,3,0,10,665,046007,ARAUCO,La Rioja,13,3
0,0,1,1,0,3,1,50,31,13,1941,0,2,0,12,0,0,4,1,12,0,30,35,1,0,28,45,0,256,046070,JUAN FACUNDO QUIROGA,La Rioja,0,0
38,8,14,12,2,48,3,0,48,2,2135,10,13,49,1,12,22,0,5,45,0,15,105,2,2,3,0,22,284,046049,FAMATINA,La Rioja,5,1
15,219,2,93,0,0,16,41,31,35,8122,388,128,180,3,1,1,4,32,958,3,1,58,28,7,1,0,1,1381,022028,CHACABUCO,Chaco,0,157
0,88,1,9,22,0,24,0,27,14,3015,261,16,70,0,1,6,2,1,193,2,0,15,6,1,1,23,1,563,022043,FRAY SANTA MARIA DE ORO,Chaco,0,51
0,33,3,24,0,0,25,0,21,1,3074,97,92,17,0,35,0,0,12,487,7,1,44,23,37,0,0,4,707,022126,1° DE MAYO,Chaco,4,6
0,2,0,6,16,31,3,0,2,1,1201,13,30,3,0,23,32,1,0,49,0,0,0,3,4,44,5,1,300,022161,TAPENAGA,Chaco,0,0
0,69,4,12,37,0,72,0,0,5,9119,56,228,22,1,1,1,0,23,513,7,2,2,109,40,2,0,7,2022,022014,BERMEJO,Chaco,21,13
42,221,5,58,30,2,48,27,0,8,9726,831,168,110,9,3,2,9,28,567,1,9,116,7,14,0,21,3,1281,022105,9 DE JULIO,Chaco,3,132
50,15,1,24,3,3,1,0,0,1,2789,332,11,3,0,1,1,2,1,169,4,0,22,5,0,1,22,8,518,022049,GRAL. BELGRANO,Chaco,4,8
0,31,1,20,0,42,21,3,5,1,4600,491,37,12,0,1,1,1,3,134,7,25,24,27,0,1,16,1,799,022147,SAN LORENZO,Chaco,1,24
21,260,13,45,0,0,99,27,0,7,17041,218,213,106,19,9,2,3,38,1365,8,1,17,160,0,5,31,11,4506,022084,LIB.GRAL. SAN MARTIN,Chaco,16,64
44,32,16,47,41,0,43,14,0,15,8061,478,118,17,0,1,45,1,5,965,9,1,3,30,50,3,43,2,2159,022133,QUITILIPI,Chaco,2,50
0,218,42,107,0,2,99,0,2,41,26459,2478,395,122,6,16,2,3,40,2369,10,27,98,141,9,4,32,12,4635,022021,CTE. FERNANDEZ,Chaco,17,179
0,1648,99,88,1,45,80,0,0,8,17329,735,73,352,1,0,23,3,21,597,2,27,36,70,2,9,45,159,3460,022063,GRAL. GUEMES,Chaco,3,401
0,1543,67,582,1,9,774,5,1,76,90217,2887,2434,823,26,61,24,34,229,11670,129,12,94,988,24,4,0,36,25031,022140,SAN FERNANDO,Chaco,199,919
0,29,19,16,0,0,28,6,30,31,10885,266,89,45,1,41,0,1,1,545,39,1,1,41,0,0,47,2,2316,022168,25 DE MAYO,Chaco,7,34
4,15,2,32,29,4,9,0,43,40,4638,66,55,5,50,0,0,0,8,384,1,0,12,9,1,14,0,1,1240,022056,GRAL. DONOVAN,Chaco,7,9
0,6,1,10,46,0,10,0,0,0,3105,19,39,8,16,0,24,0,2,256,0,0,5,16,4,7,0,0,690,022119,PCIA. DE LA PLAZA,Chaco,3,1
0,294,42,25,0,6,6,0,0,2,1974,72,19,45,0,0,48,1,3,79,45,0,9,2,0,19,0,33,350,022039,2 DE ABRIL,Chaco,1,71
0,21,10,24,1,1,24,29,0,2,6974,604,62,12,15,8,0,0,4,281,5,1,9,29,26,0,9,25,1564,022070,INDEPENDENCIA,Chaco,1,11
44,46,0,35,35,0,3,0,0,2,5399,1241,39,13,6,7,11,3,5,241,19,1,20,19,2,17,14,0,1119,022112,O HIGGINS,Chaco,4,53
33,149,3,69,0,0,23,0,7,18,5164,168,51,27,2,0,3,3,7,370,7,1,128,12,3,3,3,4,1414,022036,12 DE OCTUBRE,Chaco,2,61
0,41,4,14,0,9,6,0,0,6,7014,668,65,32,33,11,0,0,10,367,38,13,13,37,0,13,38,32,2003,022091,MAIPU,Chaco,10,15
0,716,1,113,20,0,95,0,0,22,15532,1771,225,274,0,8,9,20,25,1288,12,5,41,62,6,1,0,13,2995,022098,MAYOR L.J. FONTANA,Chaco,9,654
0,49,20,54,0,49,38,1,0,1,7968,289,82,16,46,0,1,8,12,372,9,7,63,37,18,31,2,35,1724,022007,ALTE. BROWN,Chaco,16,24
0,42,31,7,9,0,7,2,4,0,5953,34,119,36,1,0,0,24,10,270,29,14,1,29,39,18,36,4,1186,022154,SGTO. CABRAL,Chaco,6,13
