AFRICANO,ALEMAN,ANDINO,ARABE,ARMENIO,BELGA,BRITÁNICO,CHINO,COREANO,ESCANDINAVO,ESPAÑOL,ESTE EUROPEO,FRANCES,GERMANICO,GRIEGO,HEBREO,HINDU,HOLANDES,IBERICO,ITALIANO,JAPONES,JUJUY,NOA,PORTUGUES,SUIZOS,SUR,TAILANDIA,TIERRAS BAJAS,VASCO,departamento_id,departamento_nombre,provincia_nombre
21,172,4,65,32,33,144,6,0,8,17258,141,61,143,4,45,1,8,132,1048,4,2,1,615,2,61,30,0,4430,018168,SANTO TOME,Corrientes
38,157,10,61,33,18,138,0,1,2,23422,27,468,47,3,2,2,1,62,2988,1,43,3,251,1,0,1,1,5168,018070,GOYA,Corrientes
20,175,3,38,0,15,86,1,12,2,12357,19,97,51,1,4,1,13,34,1131,43,1,2,69,1,0,0,21,3187,018035,CURUZU CUATIA,Corrientes
0,129,12,36,18,0,40,5,1,6,8332,11,113,83,1,8,1,39,31,851,2,0,2,70,39,0,0,3,3361,018007,BELLA VISTA,Corrientes
0,6,11,13,46,17,10,0,0,1,3626,4,5,6,7,0,0,46,3,90,9,27,1,33,49,0,0,6,1165,018154,SAN MIGUEL,Corrientes
0,45,1,14,0,0,1,0,0,0,5207,3,25,17,43,28,1,0,5,380,0,1,39,47,21,3,36,1,1577,018161,SAN ROQUE,Corrientes
0,13,1,13,0,1,22,0,0,0,5931,2,37,7,0,22,0,50,1,239,0,8,30,22,45,0,0,36,993,018042,EMPEDRADO,Corrientes
0,17,2,16,38,0,5,0,38,1,4531,2,24,4,1,23,33,0,4,238,0,3,26,4,28,1,6,0,846,014175,TULUMBA,Córdoba
0,299,40,226,3,11,103,9,0,12,24634,105,358,139,5,30,6,4,100,5592,15,20,147,46,3,15,0,4,6000,014147,SANTA MARIA,Córdoba
0,56,18,166,0,47,26,0,30,2,15583,19,140,25,3,2,2,4,14,830,1,1,170,10,0,89,42,4,3099,014028,CRUZ DEL EJE,Córdoba
2,756,103,390,6,7,335,6,0,33,38198,264,671,281,13,43,10,32,349,8510,44,27,128,207,20,144,0,4,7723,014091,PUNILLA,Córdoba
34,7,1,14,0,0,9,0,0,31,4040,11,31,1,23,0,20,0,6,161,37,1,9,5,0,0,14,21,1310,014112,RIO SECO,Córdoba
1,1480,82,259,20,6,325,73,0,96,36401,240,713,436,11,12,9,78,209,25257,92,3,80,162,42,8,24,8,9195,014140,SAN JUSTO,Córdoba
40,50,11,50,0,0,38,1,48,2,13904,23,135,39,47,4,1,5,40,839,2,2,17,24,1,4,0,0,2199,014126,SAN ALBERTO,Córdoba
0,4,1,2,34,0,1,43,6,0,1819,0,8,0,1,0,0,3,3,43,9,3,5,47,0,0,0,18,299,014070,MINAS,Córdoba
0,117,35,59,0,1,37,30,17,2,9849,38,128,37,6,29,6,1,46,3062,3,1,11,33,5,2,32,1,2446,014105,RIO PRIMERO,Córdoba
10,193,22,130,0,17,132,0,0,12,20743,80,362,71,28,4,17,20,179,10876,27,3,74,128,13,16,9,0,5566,014119,RIO SEGUNDO,Córdoba
32,305,21,69,28,1,61,0,0,9,14383,78,134,171,3,5,3,5,54,2417,4,14,35,91,7,10,9,50,2271,014007,CALAMUCHITA,Córdoba
34,102,31,91,0,0,34,1,37,12,16243,58,143,38,3,8,3,6,34,1294,1,3,6,39,13,4,0,0,3293,014133,SAN JAVIER,Córdoba
45,1,3,4,24,9,4,0,45,1,1524,0,6,1,2,29,10,1,18,62,32,5,0,2,9,1,9,3,309,014154,SOBREMONTE,Córdoba
1,783,188,462,6,32,307,5,11,77,52975,251,754,213,19,17,75,26,337,10459,47,82,359,144,10,78,45,14,10223,014021,COLON,Córdoba
2,393,89,140,10,1,125,4,0,37,28480,109,510,216,4,19,22,17,268,12630,2,9,57,59,10,31,0,2,5903,014042,GRAL SAN MARTIN,Córdoba
0,53,4,41,0,0,36,0,0,0,8723,21,123,30,9,0,2,1,57,3745,4,1,1,25,1,7,0,0,1480,014035,GENERAL ROCA,Córdoba
38,296,60,71,31,8,89,1,8,13,9917,58,267,100,45,5,15,11,67,6366,10,2,24,26,26,8,0,2,2203,014056,JUAREZ CELMAN,Córdoba
0,800,77,342,6,1,423,1,0,60,59201,210,1072,311,3,44,31,29,533,28213,18,25,84,214,26,23,0,2,9963,014098,RIO CUARTO,Córdoba
3,4129,1091,4137,37,61,2978,58,17,337,390269,1652,5299,1642,219,222,114,233,2078,85585,238,450,1544,982,69,558,15,50,60899,014014,CAPITAL,Córdoba
0,141,2,100,1,0,40,50,19,7,6612,16,141,73,0,0,5,1,101,4064,19,2,14,45,1,9,0,0,1234,014084,ROQUE SAENZ PEÑA,Córdoba
0,2,41,3,50,0,1,0,0,2,1735,1,3,1,29,1,5,34,2,47,33,0,1,2,0,2,14,39,341,014077,POCHO,Córdoba
0,33,21,30,0,5,24,0,36,10,6739,5,40,13,0,1,0,0,10,1169,2,1,9,8,0,7,37,0,842,014168,TOTORAL,Córdoba
29,420,58,186,2,2,156,12,0,54,16411,86,416,111,1,11,9,28,143,15616,2,5,58,78,10,48,0,1,4029,014182,UNION,Córdoba
16,52,13,44,3,9,52,1,0,3,6814,54,71,18,2,8,4,2,12,754,1,2,78,6,36,17,45,1,2370,014049,ISCHILIN,Córdoba
0,202,63,192,0,1,150,7,0,12,31206,88,339,99,39,1,8,5,192,11867,11,12,84,80,2,8,12,2,4094,014161,TERCERO ARRIBA,Córdoba
4,271,22,261,0,4,190,1,0,51,19706,165,606,132,10,6,46,10,212,13881,4,20,28,75,19,26,0,1,4233,014063,MARCOS JUAREZ,Córdoba
0,2,1,10,35,4,5,1,0,0,4323,15,2,31,46,28,0,0,1,37,38,7,9,1,21,0,3,1,721,086021,ATAMISQUI,Santiago del Estero
0,4,1,5,46,9,1,0,20,50,2165,0,7,0,0,6,0,1,2,19,0,0,18,5,0,27,21,1,644,086189,SILIPICA,Santiago del Estero
0,1,0,11,43,0,2,24,0,0,2793,1,56,29,45,0,30,0,0,32,21,3,5,2,0,0,0,0,547,086084,GUASAYAN,Santiago del Estero
0,22,2,17,0,38,17,3,0,2,3885,7,39,6,0,1,41,1,1,71,22,0,62,3,0,2,0,38,617,086014,ALBERDI,Santiago del Estero
41,8,1,6,2,0,4,2,11,1,2530,14,39,0,3,0,1,0,2,56,5,0,2,2,43,0,9,0,870,086140,QUEBRACHOS,Santiago del Estero
42,38,19,79,32,1,43,0,0,35,12661,171,212,20,1,5,10,3,13,520,1,3,119,11,13,0,37,1,2391,086161,ROBLES,Santiago del Estero
37,32,0,35,41,0,6,41,0,0,2804,4,48,1,0,0,3,2,7,178,0,42,28,1,2,0,0,0,694,086007,AGUIRRE,Santiago del Estero
0,177,128,546,2,19,136,2,25,16,41208,244,486,10,2,5,14,9,10,2443,8,6,291,48,2,4,20,8,6106,086035,BANDA,Santiago del Estero
46,57,15,69,22,0,41,0,19,8,9893,33,168,9,50,1,1,5,1,284,4,1,125,19,0,0,33,3,1219,086119,MORENO,Santiago del Estero
0,17,2,17,39,4,23,35,0,36,2895,8,12,4,23,0,21,0,0,32,0,20,3,2,0,12,0,0,613,086175,SAN MARTIN,Santiago del Estero
30,70,3,54,1,17,15,0,1,1,6029,49,47,1,0,1,0,1,3,115,0,1,117,10,0,1,0,1,1172,086028,AVELLANEDA,Santiago del Estero
0,1,0,9,15,1,1,0,29,0,2608,1,33,0,0,1,40,1,0,40,4,0,3,3,13,0,38,37,947,086168,SALAVINA,Santiago del Estero
29,62,36,162,11,2,33,5,1,6,14788,16,74,3,9,11,5,3,3,412,4,3,21,65,1,1,0,35,1547,086063,CHOYA,Santiago del Estero
0,28,1,71,1,8,37,0,44,1,7868,3,19,1,0,0,0,0,7,108,2,0,13,2,0,10,18,0,1119,086105,LORETO,Santiago del Estero
0,9,1,12,0,49,8,13,0,5,5089,3,28,3,0,2,42,30,1,61,1,1,2,4,0,2,0,1,585,086091,JIMENEZ,Santiago del Estero
30,2,2,5,0,0,7,20,0,1,4580,7,17,0,1,43,21,17,0,87,0,2,7,0,1,1,7,0,1988,086126,OJO DE AGUA,Santiago del Estero
0,66,1,14,0,6,10,3,15,3,1161,9,42,3,2,6,44,1,32,605,7,11,2,6,2,14,43,0,311,086154,RIVADAVIA,Santiago del Estero
0,10,1,44,15,23,18,0,42,0,7311,22,63,41,48,13,7,1,1,91,0,0,34,2,0,0,32,15,664,086098,MATARA,Santiago del Estero
13,78,4,25,0,0,14,2,2,3,2365,13,36,1,0,4,0,8,10,493,36,14,80,6,1,15,21,35,732,086042,BELGRANO,Santiago del Estero
0,8,15,2,30,0,4,24,0,0,1132,1,14,0,0,1,0,8,31,8,40,0,4,32,49,0,0,0,174,086182,SARMIENTO,Santiago del Estero
18,10,5,68,0,0,31,0,48,6,7768,14,102,4,0,1,0,3,2,134,1,3,50,4,8,1,0,7,1524,086056,COPO,Santiago del Estero
21,916,60,2071,6,83,405,3,36,105,82736,458,1062,28,36,22,16,30,57,8070,29,17,407,223,4,5,0,19,10237,086049,CAPITAL,Santiago del Estero
30,3,27,23,26,0,16,0,2,48,7554,4,157,1,26,18,0,45,1,46,0,49,65,10,34,10,0,2,864,086070,FIGUEROA,Santiago del Estero
6,90,21,176,0,1,24,0,0,4,21480,26,95,2,3,1,2,3,5,503,0,4,8,16,1,3,0,40,2196,086147,RIO HONDO,Santiago del Estero
0,92,8,105,8,1,36,0,20,26,13470,62,141,2,2,2,13,10,3,532,28,0,292,12,29,11,0,20,1415,086077,TABOADA,Santiago del Estero
0,1,19,3,0,0,0,41,0,0,422,43,7,27,16,0,44,0,8,26,0,32,0,1,23,0,0,0,196,086112,MITRE,Santiago del Estero
0,10,5,34,21,1,95,0,0,0,7038,13,47,7,0,43,33,0,1,67,0,3,9,9,0,49,12,4,974,086133,PELLEGRINI,Santiago del Estero
0,67,1208,85,1,0,14,9,0,3,7202,57,84,3,2,1,7,2,4,264,4,414,350,15,0,4,0,8,1653,066035,CERRILLOS,Salta
0,52,1270,86,1,1,37,37,23,5,11197,56,147,5,2,8,40,2,4,671,1,430,171,25,3,2,0,33,3258,066049,GÜEMES,Salta
32,82,280,101,25,4,38,0,0,16,11381,48,143,2,4,8,39,7,3,605,1,153,152,8,0,2,0,32,2741,066112,METAN,Salta
13,24,411,43,11,49,4,0,0,3,1957,6,15,1,0,46,3,0,1,61,1,112,88,2,46,1,17,4,371,066098,LA VIÑA,Salta
6,14,877,62,0,47,11,47,0,50,4902,24,43,1,1,1,5,0,0,92,13,473,344,6,0,36,0,42,772,066042,CHICOANA,Salta
38,11,739,28,0,5,4,0,0,4,4667,13,26,1,2,0,6,0,1,84,1,215,342,4,0,47,40,1,536,066021,CAFAYATE,Salta
26,3,71,42,46,37,28,7,12,1,10558,11,99,35,4,15,1,46,1,163,1,16,40,6,0,0,4,6,1935,066133,RIVADAVIA,Salta
0,6,172,4,0,0,0,4,0,0,1185,3,3,21,0,0,49,1,26,9,0,67,37,2,16,0,14,2,305,066063,GUACHIPAS,Salta
1,38,234,57,1,5,14,25,0,11,8760,59,42,6,26,2,53,1,4,615,2,62,155,13,36,0,21,28,1702,066140,ROS.DE LA FRONTERA,Salta
0,0,669,10,0,0,2,0,30,0,1278,0,14,25,0,39,1,0,0,6,0,102,9,1,10,0,0,1,328,066070,IRUYA,Salta
0,36,1727,43,15,0,30,0,24,1,7850,38,158,4,1,1,7,2,1,295,1,1116,708,12,0,1,0,8,1188,066147,ROSARIO DE LERMA,Salta
0,34,147,14,14,14,36,0,12,0,340,0,11,0,0,0,50,4,0,2,24,73,44,6,15,0,0,0,57,066091,LA POMA,Salta
3,931,9563,2755,3,8,570,6,3,114,91551,798,1712,60,120,74,116,80,54,12030,139,7047,4447,284,13,35,2,192,22373,066028,CAPITAL,Salta
31,5,465,10,2,1,1,30,7,0,1552,11,10,5,1,0,0,44,1,23,33,189,196,1,39,31,18,1,167,066154,SAN CARLOS,Salta
0,7,277,14,0,0,0,26,0,0,1468,4,5,29,0,0,3,30,1,63,43,22,19,1,34,24,18,43,234,066084,LA CANDELARIA,Salta
0,0,427,1,13,0,0,0,0,0,1618,1,53,1,0,0,31,1,35,7,35,181,330,1,0,0,19,1,69,066105,LOS ANDES,Salta
0,1,651,42,0,19,1,0,0,47,2153,0,14,1,18,41,0,0,2,53,1,166,61,1,0,0,0,7,356,066161,SANTA VICTORIA,Salta
1,121,3020,388,0,29,109,35,45,14,26473,125,453,13,22,1,24,9,19,999,27,463,375,108,1,15,42,471,6513,066126,ORAN,Salta
0,233,1352,339,44,3,139,1,21,7,44427,188,733,8,38,16,32,4,23,1645,12,302,441,107,10,11,3,414,11404,066056,SAN MARTIN,Salta
1,33,483,25,15,1,12,19,0,2,1606,30,34,1,12,4,1,1,1,242,2,473,48,2,11,1,1,1,527,066077,LA CALDERA,Salta
0,38,319,93,1,9,80,0,0,3,15433,31,99,5,1,17,11,8,8,406,1,71,531,32,14,2,4,115,2952,066007,ANTA,Salta
0,1,221,2,16,2,1,0,15,42,1025,39,1,8,11,13,0,12,0,9,43,182,394,35,0,0,0,1,153,066119,MOLINOS,Salta
10,11,493,3,0,0,4,8,23,4,1865,4,3,7,0,7,0,23,1,19,0,141,173,1,16,13,48,3,238,066014,CACHI,Salta
0,2347,32,199,49,4,189,4,0,60,22954,104,510,794,4,26,11,83,270,3780,5,4,47,112,18,50,39,0,4563,042021,CAPITAL,La Pampa
49,5,2,3,28,0,1,0,0,48,859,18,2,4,0,0,0,0,10,28,39,36,38,3,6,1,0,27,152,042049,CHALILEO,La Pampa
26,59,6,11,19,35,9,2,5,4,1144,6,29,22,1,0,1,2,8,587,3,1,1,1,0,3,0,25,155,042147,TRENEL,La Pampa
0,344,2,10,0,0,35,0,46,5,1363,19,145,249,50,2,47,10,34,237,2,0,1,7,1,2,32,45,260,042077,HUCAL,La Pampa
48,9,1,3,16,21,8,0,28,1,585,2,8,13,0,16,1,6,2,38,42,0,10,24,2,5,0,1,100,042014,CALEU CALEU,La Pampa
21,420,1,26,0,18,50,0,36,1,3442,29,35,196,1,2,0,54,77,720,47,1,3,18,46,10,0,0,526,042035,CONHELO,La Pampa
12,3,48,40,15,0,1,16,0,41,143,0,1,1,0,4,0,0,0,6,0,10,40,1,20,1,47,0,18,042091,LIMAY MAHUIDA,La Pampa
0,8,0,0,0,0,0,37,30,0,189,1,3,1,0,5,44,0,1,15,0,0,0,0,0,4,41,0,35,042042,CURACO,La Pampa
12,2,0,0,22,0,0,38,30,46,36,0,0,3,0,0,0,0,1,5,0,0,3,10,0,0,29,49,30,042084,LIHUEL CALEL,La Pampa
0,404,4,7,0,0,37,4,0,8,2640,8,123,103,1,0,2,33,34,240,21,32,1,27,1,24,0,0,465,042007,ATREUCO,La Pampa
0,1163,1,12,29,0,38,14,0,5,934,14,40,274,0,2,15,37,20,243,6,0,7,6,50,2,0,0,163,042070,GUATRACHE,La Pampa
13,288,5,21,0,0,28,0,0,1,4007,3,43,109,3,3,1,9,30,327,1,0,13,13,0,39,2,4,660,042154,UTRACAN,La Pampa
0,2,0,16,0,28,0,23,0,0,446,3,40,2,0,40,2,0,1,7,0,43,0,17,0,14,18,0,118,042063,CHICAL-CO,La Pampa
11,34,3,23,30,30,9,0,13,2,2364,7,36,17,1,1,2,2,27,656,48,1,1,21,0,5,8,1,403,042126,RANCUL,La Pampa
40,27,2,28,2,0,22,17,33,3,2513,2,18,19,34,42,0,11,29,273,1,2,0,26,49,11,3,39,668,042098,LOVENTUE,La Pampa
1,43,1,17,0,0,7,0,5,4,2094,5,46,16,0,1,1,3,26,224,1,6,0,14,0,1,18,0,359,042028,CATRILO,La Pampa
24,50,9,19,3,0,27,25,0,1,3335,5,59,30,28,3,3,1,11,764,43,1,1,14,0,18,13,44,440,042056,CHAPALEUFU,La Pampa
0,286,31,96,0,1,130,2,20,18,15474,110,265,190,1,37,4,8,138,2998,3,9,2,101,2,17,40,1,2312,042105,MARACO,La Pampa
0,197,3,14,0,1,41,0,27,6,2507,14,39,104,7,7,0,5,29,505,2,1,6,7,0,13,27,50,268,042119,QUEMU QUEMU,La Pampa
0,175,9,21,25,48,17,23,47,15,3199,14,68,86,0,5,31,4,49,322,1,4,2,13,37,27,1,0,504,042140,TOAY,La Pampa
0,36,14,15,25,0,8,0,5,0,2276,7,38,10,42,2,31,1,17,179,12,41,2,3,0,25,0,2,633,042112,PUELEN,La Pampa
0,77,4,45,47,22,17,0,2,3,2943,14,77,52,1,3,0,14,37,1639,1,26,2,19,0,4,29,0,689,042133,REALICO,La Pampa
0,3,34,3,15,0,30,19,16,17,832,24,1,0,31,32,0,0,15,8,0,0,4,1,0,3,0,0,130,046077,GRAL. LAMADRID,La Rioja
0,3,2,8,0,15,0,32,0,47,906,1,1,0,0,8,0,0,37,11,6,0,53,34,0,1,0,0,68,046105,INDEPENDENCIA,La Rioja
38,5,4,11,35,2,1,30,45,35,2490,8,13,0,3,7,46,0,2,68,0,0,64,1,21,7,0,4,421,046063,GRAL. BELGRANO,La Rioja
0,6,4,8,10,0,2,47,0,2,1641,1,11,0,2,1,0,21,48,54,1,1,72,1,0,2,39,39,172,046021,CASTRO BARROS,La Rioja
0,12,1,17,0,0,2,0,0,1,2047,4,3,0,1,1,0,1,2,49,1,4,39,3,0,1,0,0,454,046084,GRAL.ORTIZ DE OCAMPO,La Rioja
0,0,1,4,0,0,31,47,50,0,1601,1,2,6,0,11,0,48,0,11,0,7,7,2,0,6,46,36,338,046091,GRAL. SAN MARTIN,La Rioja
35,185,199,504,7,3,158,5,47,27,58973,222,287,17,47,18,11,23,49,3739,6,59,902,87,5,68,6,6,7285,046014,CAPITAL,La Rioja
19,3,4,23,0,0,2,0,0,0,1129,2,2,0,1,47,5,2,1,46,1,1,100,9,0,0,0,0,196,046119,SAN BLAS DE LOS SAUCES,La Rioja
0,6,57,41,32,10,12,0,0,1,3963,5,16,1,2,0,2,26,1,57,36,4,96,0,0,22,28,0,474,046028,CNEL. FELIPE VARELA,La Rioja
8,2,14,1,30,0,1,45,25,0,1220,1,4,1,1,0,2,1,37,34,15,2,20,0,25,0,0,0,82,046126,SANAGASTA,La Rioja
29,1,5,3,25,32,4,1,17,33,780,1,4,0,5,1,14,0,39,15,0,2,17,1,16,1,0,0,176,046098,VINCHINA,La Rioja
0,8,2,42,1,3,5,0,0,33,5348,4,40,0,5,0,3,0,2,120,0,1,68,12,0,5,8,0,724,046112,ROSARIO VERA PEÑALOZA,La Rioja
0,19,10,60,2,1,5,14,23,1,4058,6,49,1,0,49,1,4,5,196,15,4,68,9,30,2,1,1,764,046035,CHAMICAL,La Rioja
31,58,145,145,1,13,106,1,24,2,10335,45,117,2,17,17,22,1,17,573,44,30,830,18,1,57,0,3,1986,046042,CHILECITO,La Rioja
29,4,2,4,3,0,0,0,42,31,1128,0,2,0,21,47,1,0,19,14,27,0,22,0,30,12,0,0,86,046056,ANGEL VICENTE PEÑALOZA,La Rioja
1,6,36,23,1,0,10,3,0,2,5786,3,39,2,3,0,3,1,2,231,2,6,231,2,0,3,0,10,643,046007,ARAUCO,La Rioja
0,0,1,1,0,3,1,50,31,13,1941,0,2,0,12,0,0,4,1,11,0,30,35,1,0,28,45,0,241,046070,JUAN FACUNDO QUIROGA,La Rioja
38,8,14,12,2,48,3,0,48,2,2135,6,11,49,1,12,22,0,5,42,0,15,105,2,2,3,0,22,266,046049,FAMATINA,La Rioja
15,219,2,84,0,0,16,41,31,35,8122,69,122,180,3,1,1,4,32,800,3,1,58,28,7,1,0,1,1339,022028,CHACABUCO,Chaco
0,88,1,9,22,0,24,0,27,14,3015,61,16,70,0,1,6,2,1,178,1,0,15,6,1,1,23,1,544,022043,FRAY SANTA MARIA DE ORO,Chaco
0,33,3,23,0,0,25,0,21,1,3074,25,75,17,0,35,0,0,12,450,0,1,44,23,37,0,0,4,684,022126,1° DE MAYO,Chaco
0,2,0,6,16,31,3,0,2,1,1201,4,18,3,0,23,32,1,0,36,0,0,0,3,4,44,5,1,277,022161,TAPENAGA,Chaco
0,69,4,10,37,0,72,0,0,5,9119,6,205,22,1,1,1,0,23,481,7,2,2,109,40,2,0,7,1975,022014,BERMEJO,Chaco
42,221,5,58,30,2,48,27,0,8,9726,211,127,110,9,3,2,9,28,411,1,9,116,7,14,0,21,3,1244,022105,9 DE JULIO,Chaco
50,15,1,24,3,3,1,0,0,1,2789,148,10,3,0,1,1,2,1,125,3,0,22,5,0,1,22,8,514,022049,GRAL. BELGRANO,Chaco
0,31,1,20,0,42,21,3,5,1,4600,125,27,12,0,1,1,1,3,111,6,25,24,27,0,1,16,1,775,022147,SAN LORENZO,Chaco
21,260,13,40,0,0,99,27,0,7,17041,57,202,106,19,9,2,3,38,1165,5,1,17,160,0,5,31,11,4423,022084,LIB.GRAL. SAN MARTIN,Chaco
44,32,16,23,41,0,43,14,0,15,8061,134,110,17,0,1,45,1,5,876,2,1,3,30,50,3,43,2,2107,022133,QUITILIPI,Chaco
0,218,42,98,0,2,99,0,2,41,26459,689,358,122,6,16,2,3,40,1979,1,27,98,141,9,4,32,12,4421,022021,CTE. FERNANDEZ,Chaco
0,1648,99,84,1,45,80,0,0,8,17329,120,50,352,1,0,23,3,21,494,1,27,36,70,2,9,45,159,3366,022063,GRAL. GUEMES,Chaco
0,1543,67,505,1,9,774,5,1,76,90217,586,1901,823,26,61,24,34,229,9593,75,12,94,988,24,4,0,36,23644,022140,SAN FERNANDO,Chaco
0,29,19,16,0,0,28,6,30,31,10885,49,84,45,1,41,0,1,1,454,39,1,1,41,0,0,47,2,2285,022168,25 DE MAYO,Chaco
4,15,2,29,29,4,9,0,43,40,4638,28,40,5,50,0,0,0,8,343,0,0,12,9,1,14,0,1,1202,022056,GRAL. DONOVAN,Chaco
0,6,1,9,46,0,10,0,0,0,3105,7,38,8,16,0,24,0,2,203,0,0,5,16,4,7,0,0,651,022119,PCIA. DE LA PLAZA,Chaco
0,294,42,25,0,6,6,0,0,2,1974,18,19,45,0,0,48,1,3,65,45,0,9,2,0,19,0,33,331,022039,2 DE ABRIL,Chaco
0,21,10,15,1,1,24,29,0,2,6974,133,62,12,15,8,0,0,4,248,5,1,9,29,26,0,9,25,1530,022070,INDEPENDENCIA,Chaco
44,46,0,32,35,0,3,0,0,2,5399,296,31,13,6,7,11,3,5,192,1,1,20,19,2,17,14,0,1109,022112,O HIGGINS,Chaco
33,149,3,66,0,0,23,0,7,18,5164,56,45,27,2,0,3,3,7,241,7,1,128,12,3,3,3,4,1380,022036,12 DE OCTUBRE,Chaco
0,41,4,13,0,9,6,0,0,6,7014,105,58,32,33,11,0,0,10,332,35,13,13,37,0,13,38,32,1961,022091,MAIPU,Chaco
0,716,1,110,20,0,95,0,0,22,15532,382,177,274,0,8,9,20,25,1018,2,5,41,62,6,1,0,13,2893,022098,MAYOR L.J. FONTANA,Chaco
0,49,20,54,0,49,38,1,0,1,7968,78,78,16,46,0,1,8,12,305,3,7,63,37,18,31,2,35,1672,022007,ALTE. BROWN,Chaco
0,42,31,6,9,0,7,2,4,0,5953,5,94,36,1,0,0,24,10,229,29,14,1,29,39,18,36,4,1156,022154,SGTO. CABRAL,Chaco
0,33,0,14,0,0,12,28,43,4,2446,5,78,18,0,1,0,39,4,389,6,1,1,17,35,15,0,1,836,022077,LIBERTAD,Chaco
0,138,678,339,0,3,181,39,1,10,40747,52,477,74,26,18,4,6,214,5565,26,98,207,144,1,128,41,13,7502,050070,MAIPU,Mendoza
0,261,408,283,1,1,161,0,0,14,30578,54,372,93,19,19,5,11,120,5535,22,71,125,96,0,40,0,3,5105,050063,LUJAN,Mendoza
50,28,137,206,0,6,37,0,10,4,14635,30,84,12,5,21,5,5,50,2114,1,6,67,55,1,6,0,0,2753,050084,RIVADAVIA,Mendoza
23,24,33,30,0,1,12,0,0,4,7843,11,80,20,12,1,1,1,132,550,4,4,32,14,0,34,3,0,2102,050077,MALARGUE,Mendoza
21,339,161,535,1,1,246,14,1,35,19313,194,512,134,17,45,30,15,347,7901,30,16,101,130,1,77,0,7,3758,050007,CAPITAL,Mendoza
39,15,267,56,16,0,11,46,1,1,9794,4,54,3,5,6,3,1,28,722,1,40,33,47,0,1,28,3,1767,050126,TUPUNGATO,Mendoza
5,76,26,101,49,1,24,0,0,5,16967,147,144,44,8,5,3,2,192,1363,35,5,12,17,3,6,35,0,2166,050014,GRAL. ALVEAR,Mendoza
0,3,20,37,0,1,5,24,0,1,3561,1,28,6,5,1,7,46,16,491,0,2,17,9,48,13,0,0,1148,050112,SANTA ROSA,Mendoza
